ID,Long,Lat
Dark Feline,0.908947,51.833557
Beast of Bont,-4.08292,52.415303
Large Prints,-3.962566,55.866267
Cat Attack,1.132338,52.094046
Panther-Like Creature,-4.42914,53.265325
Black Cat,-4.42914,53.265325
Jet Black Cat,0.875019,51.146466
Trentham Drive,-1.202517,52.972806
ABC,0.81648,52.007355
Large Feline,1.015527,52.518064
Dead Farm Animals,-1.565553,52.655685
Beast of Baglan,-3.814203,51.619954
Operation Big Cat,-6.558453,55.128416
Black Panther,-6.547,55.2155
Lynx,-6.547,51.945492
Beast of Banburyshire,-1.339775,52.062901
Beast of Banwell,-2.863389,51.325992
Big Cat,-0.635749,50.827758
Puma,-4.058338,51.07816
Lynx ,1.566053,52.459333
